cohortId,cohortNameLong,logicDescription,recommendedReferentConceptIds,ohdsiForumPost,createdDate,modifiedDate
2,COVID-19 diagnosis or SARS-CoV-2 test (1pos),Withdrawn by contributor before peer review,"439676, 37311061",,2021-09-22,2023-09-19
3,Cough or Sputum,All events of cough or sputum finding,254761,https://forums.ohdsi.org/t/17895,2021-09-22,2023-09-28
4,Diarrhea,All events of diarrhea including Functional Diarrhea,196523,https://forums.ohdsi.org/t/17895,2021-09-23,2023-09-25
5,Dyspnea,All events of dyspnea including difficulty breathing or abnormal breathing,"312437, 4041664",https://forums.ohdsi.org/t/17895,2021-09-23,2023-09-28
6,Fever,All events of fever or elevated temperature measurement,"437663, 4178904",https://forums.ohdsi.org/t/17895,2021-09-23,2023-09-25
7,Headache or Headache disorder,All events of Headache or headache disorder,378253,https://forums.ohdsi.org/t/17895,2021-09-23,2023-09-25
8,"Altered smell or taste including Anosmia, Hyposmia or Dysgeusia","Altered smell or taste including Anosmia, Hyposmia or Dysgeusia",43530714,https://forums.ohdsi.org/t/17895,2021-09-23,2023-09-25
9,Sore throat,All events of Sore throat,"25297, 4226263",https://forums.ohdsi.org/t/17895,2021-09-23,2023-09-25
10,Nausea or Vomiting,All events of Nausea or vomiting,"27674, 4101344",https://forums.ohdsi.org/t/17895,2021-09-23,2023-09-25
11,Malaise and or fatigue,All events of Malaise and or fatigue,"439926, 4272240",https://forums.ohdsi.org/t/17895,2021-09-23,2023-09-25
12,Rhinitis or common cold or Sinusitis,All events of Rhinitis or common cold,"257007, 4320791",https://forums.ohdsi.org/t/17895,2021-09-23,2023-09-25
13,"Myalgia (not explained by injury, ischemia or systemic inflammation)","All events of Myalgia. Exclude persons with secondary causes of myalgia explained by injury, ischemia or chronic systemic inflammation","442752, 4150129",https://forums.ohdsi.org/t/17895,2021-09-23,2023-09-25
14,Myalgia,All events of Myalgia,"442752, 4150129",https://forums.ohdsi.org/t/17895,2021-09-23,2023-09-25
15,Exposure to viral disease,all events of Exposure to viral disease. Persons exit on cohort end date,37016200,,2021-09-23,2023-09-19
16,Exposure to SARS-Cov 2 and coronavirus,,,,2021-09-23,2023-09-19
17,Exposure to SARS-CoV-2,all events of Exposure to SARS-CoV-2. Persons exit on cohort end date,37311059,,2021-09-23,2023-09-19
18,Multisystem inflammatory syndrome (MIS),all events of Multisystem inflammatory syndrome (MIS). Persons exit on cohort end date,703578,,2021-09-23,2023-09-19
20,Bronchitis or Bronchiolitis,All events of Bronchitis,"256451, 260139",https://forums.ohdsi.org/t/17895,2021-09-23,2023-09-25
21,Acute respiratory distress syndrome (ARDS) or Acute Respiratory Failure,All events of Acute respiratory distress syndrome (ARDS) or Acute Respiratory Failure,319049,,2021-09-23,2023-09-19
22,SARS-CoV-2 testing,Withdrawn by contributor before peer review,,,2021-09-23,2023-09-19
23,"Inpatient Hospitalization (1Pe, 0Era)",All events of Inpatient visit. This cohort is deemed validated as it represents data convention and did not need to go thru peer review process,,,2021-09-23,2023-09-19
24,"Emergency room visits (0Pe, 0Era)",All events of Emergency Room visits. This cohort is deemed validated as it represents data convention and did not need to go thru peer review process,,,2021-09-23,2023-09-19
25,All cause mortality,Earliest observation of any death,,,2021-09-23,2023-09-19
27,Asthma without COPD,Earliest of either asthma diagnosis or therapy for asthma with a history of another asthma therapy more than 180 days before. The person should not have a diagnosis or treatment for COPD in past,317009,,2021-09-23,2023-09-19
29,Autoimmune condition (FP),"Withdrawn by contributor before peer review. No clinical description, evaluation or discussions found. May need to be revisited in future","76685, 80809, 81893, 81931, 134442, 134618, 135215, 140168, 194992, 199856, 201254, 201606, 254443, 257628, 374919, 432295, 438688, 443394, 4137275, 4232076",,2021-09-23,2023-09-19
30,Tuberculosis,All events of tuberculosis with at least 3 different drugs for tuberculosis at anytime on or after diagnosis,"253954, 434557",,2021-09-23,2023-09-25
31,Malignant neoplasm excluding non-melanoma skin cancer,All events with a malignant neoplastic disease or history of malignant neoplastic disease,"137809, 443392",,2021-09-23,2023-09-19
32,Obesity,Persons with obesity diagnosis or a body weight measurement > 120 kg or 265 lbs,433736,https://forums.ohdsi.org/t/17895,2021-09-23,2023-09-25
33,Dementia,"Persons with the diagnosis of dementia, includes history of Dementia",4182210,,2021-09-23,2023-09-25
34,Hypertensive disorder or hypertensive complications,Hypertensive disorder diagnosis or complication of hypertension,"312648, 4028741",,2021-09-23,2023-09-19
35,Chronic kidney disease (FP),"Withdrawn by contributor before peer review. No clinical description, evaluation or discussions found. May need to be revisited in future","192359, 193782",,2021-09-23,2023-09-19
36,Human immunodeficiency virus (not HIV2) infection,Earliest diagnosis of HIV (not HIV2) with another diagnosis in future or a treatment for HIV,439727,,2021-09-23,2023-09-19
